,added
2998,3
2999,2
3000,1
3001,2
3002,1
3003,2
3004,1
3005,2
3006,3
3007,2
3008,2
3009,1
3010,1
3011,2
3012,3
3013,1
3014,1
3015,1
3016,2
3017,2
3018,2
3019,1
3020,1
3021,2
3022,1
3023,2
3024,1
3025,2
3026,1
3027,1
3028,1
3029,1
3030,1
3031,2
3032,2
3033,1
3034,2
3035,1
3036,1
3037,1
3038,1
3039,1
3040,1
3041,2
3042,1
3043,2
3044,2
3045,2
3046,2
3047,2
3048,1
3049,1
3050,1
3051,1
3052,2
3053,2
3054,1
3055,2
3056,1
3057,2
3058,2
3059,1
3060,1
3061,2
3062,1
3063,1
3064,1
3065,1
3066,1
3067,1
3068,2
3069,1
3070,1
3071,1
3072,2
3073,1
3074,2
3075,1
3076,3
3077,2
3078,2
3079,1
3080,1
3081,1
3082,1
3083,2
3084,1
3085,1
3086,1
3087,1
3088,1
3089,2
3090,2
3091,1
3092,2
3093,2
3094,2
3095,1
3096,2
3097,2
3098,1
3099,2
3100,2
3101,2
3102,2
3103,1
3104,1
3105,2
3106,1
3107,1
3108,2
3109,2
3110,2
3111,1
3112,2
3113,1
3114,3
3115,2
3116,2
3117,1
3118,1
3119,3
3120,1
3121,2
3122,1
3123,2
3124,3
3125,2
3126,1
3127,1
3128,3
3129,1
3130,2
3131,1
3132,1
3133,2
3134,1
3135,2
3136,2
3137,1
3138,3
3139,2
3140,1
3141,1
3142,3
3143,2
3144,2
3145,1
3146,1
3147,2
3148,1
3149,1
3150,3
3151,1
3152,1
3153,1
3154,1
3155,1
3156,1
3157,1
3158,1
3159,2
3160,1
3161,3
3162,1
3163,3
3164,2
3165,2
3166,1
3167,1
3168,2
3169,1
3170,2
3171,2
3172,1
3173,1
3174,2
3175,3
3176,2
3177,1
3178,1
3179,2
3180,3
3181,2
3182,2
3183,2
3184,1
3185,2
3186,1
3187,1
3188,2
3189,2
3190,2
3191,1
3192,1
3193,1
3194,2
3195,2
3196,3
3197,1
3198,1
3199,3
3200,2
3201,1
3202,2
3203,2
3204,1
3205,2
3206,1
3207,1
3208,1
3209,1
3210,2
3211,1
3212,1
3213,1
3214,1
3215,2
3216,2
3217,1
3218,1
3219,1
3220,2
3221,2
3222,1
3223,1
3224,2
3225,1
3226,1
3227,1
3228,2
3229,2
3230,1
3231,1
3232,2
3233,1
3234,2
3235,1
3236,3
3237,1
3238,1
3239,2
3240,3
3241,2
3242,2
3243,2
3244,2
3245,2
3246,2
3247,1
3248,4
3249,2
3250,2
3251,1
3252,1
3253,1
3254,2
3255,1
3256,2
3257,2
3258,3
3259,2
3260,1
3261,1
3262,2
3263,1
3264,2
3265,1
3266,1
3267,2
3268,1
3269,2
3270,2
3271,1
3272,1
3273,1
3274,2
3275,1
3276,2
3277,2
3278,2
3279,1
3280,2
3281,2
3282,1
3283,1
3284,2
3285,3
3286,1
3287,1
3288,2
3289,1
3290,2
3291,1
3292,2
3293,2
3294,2
3295,2
3296,2
3297,2
3298,2
3299,1
3300,1
3301,2
3302,2
3303,2
3304,3
3305,1
3306,1
3307,1
3308,1
3309,2
3310,1
3311,1
3312,1
3313,2
3314,2
3315,2
3316,2
3317,1
3318,2
3319,2
3320,1
3321,2
3322,2
3323,2
3324,2
3325,1
3326,1
3327,2
3328,2
3329,1
3330,1
3331,3
3332,1
3333,2
3334,1
3335,3
3336,1
3337,2
3338,1
3339,1
3340,1
3341,1
3342,1
3343,2
3344,2
3345,2
3346,3
3347,1
3348,1
3349,1
3350,1
3351,1
3352,1
3353,2
3354,2
3355,1
3356,2
3357,2
3358,1
3359,1
3360,2
3361,1
3362,1
3363,1
3364,2
3365,2
3366,2
3367,1
3368,3
3369,2
3370,1
3371,1
3372,2
3373,2
3374,1
3375,1
3376,2
3377,2
3378,2
3379,1
3380,2
3381,1
3382,3
3383,1
3384,2
3385,2
3386,1
3387,2
3388,1
3389,2
3390,3
3391,1
3392,2
3393,2
3394,2
3395,2
3396,2
3397,2
3398,2
3399,1
3400,3
3401,1
3402,1
3403,1
3404,1
3405,3
3406,2
3407,1
3408,2
3409,1
3410,1
3411,1
3412,1
3413,1
3414,2
3415,2
3416,2
3417,2
3418,1
3419,1
3420,1
3421,2
3422,2
3423,2
3424,1
3425,2
3426,1
3427,1
3428,1
3429,1
3430,1
3431,1
3432,3
3433,1
3434,2
3435,2
3436,1
3437,1
3438,1
3439,2
3440,2
3441,2
3442,2
3443,2
3444,1
3445,1
3446,3
3447,1
3448,1
3449,2
3450,2
3451,1
3452,2
3453,2
3454,2
3455,3
3456,2
3457,1
3458,1
3459,1
3460,1
3461,1
3462,1
3463,1
3464,2
3465,3
3466,1
3467,2
3468,2
3469,2
3470,1
3471,1
3472,1
3473,1
3474,2
3475,1
3476,1
3477,2
3478,2
3479,1
3480,1
3481,2
3482,3
3483,2
3484,1
3485,1
3486,2
3487,2
3488,1
3489,1
3490,3
3491,1
3492,1
3493,1
3494,1
3495,2
3496,2
3497,2
3498,1
3499,1
3500,2
3501,1
3502,2
3503,2
3504,1
3505,1
3506,1
3507,1
3508,2
3509,1
3510,1
3511,1
3512,1
3513,1
3514,1
3515,1
3516,1
3517,2
3518,2
3519,1
3520,1
3521,1
3522,2
3523,1
3524,2
3525,1
3526,1
3527,2
3528,1
3529,1
3530,1
3531,2
3532,2
3533,1
3534,2
3535,1
3536,1
3537,1
3538,2
3539,1
3540,1
3541,1
3542,1
3543,1
3544,2
3545,1
3546,3
3547,2
3548,1
3549,1
3550,1
3551,2
3552,2
3553,1
3554,2
3555,2
3556,1
3557,2
3558,1
3559,2
3560,3
3561,1
3562,2
3563,1
3564,1
3565,3
3566,2
3567,3
3568,2
3569,2
3570,3
3571,2
3572,1
3573,1
3574,3
3575,1
3576,3
3577,2
3578,2
3579,2
3580,2
3581,1
3582,2
3583,3
3584,1
3585,2
3586,1
3587,1
3588,1
3589,1
3590,1
3591,1
3592,2
3593,3
3594,2
3595,1
3596,1
3597,1
3598,2
3599,3
3600,1
3601,2
3602,2
3603,1
3604,1
3605,1
3606,1
3607,1
3608,1
3609,2
3610,1
3611,2
3612,1
3613,1
3614,1
3615,3
3616,2
3617,3
3618,2
3619,2
3620,1
3621,1
3622,2
3623,1
3624,1
3625,2
3626,3
3627,1
3628,1
3629,2
3630,1
3631,1
3632,3
3633,1
3634,1
3635,1
3636,2
3637,1
3638,1
3639,2
3640,1
3641,1
3642,1
3643,1
3644,1
3645,1
3646,1
3647,2
3648,1
3649,1
3650,1
3651,1
3652,2
3653,2
3654,1
3655,2
3656,1
3657,1
3658,1
3659,2
3660,3
3661,2
3662,1
3663,1
3664,1
3665,2
3666,1
3667,1
3668,2
3669,3
3670,1
3671,2
3672,1
3673,3
3674,1
3675,1
3676,3
3677,2
3678,2
3679,1
3680,2
3681,3
3682,2
3683,2
3684,2
3685,1
3686,1
3687,2
3688,1
3689,1
3690,1
3691,1
3692,1
3693,1
3694,1
3695,1
3696,1
3697,1
3698,3
3699,1
3700,2
3701,1
3702,1
3703,3
3704,3
3705,2
3706,2
3707,2
3708,2
3709,2
3710,2
3711,2
3712,1
3713,2
3714,1
3715,1
3716,2
3717,1
3718,3
3719,2
3720,2
3721,2
3722,1
3723,2
3724,3
3725,2
3726,1
3727,1
3728,2
3729,1
3730,1
3731,1
3732,2
3733,3
3734,1
3735,1
3736,1
3737,1
3738,2
3739,1
3740,3
3741,2
3742,1
3743,3
3744,2
3745,2
3746,1
3747,1
3748,1
3749,1
3750,1
3751,2
3752,2
3753,1
3754,3
3755,2
3756,1
3757,2
3758,1
3759,2
3760,2
3761,1
3762,1
3763,3
3764,2
3765,1
3766,1
3767,1
3768,2
3769,2
3770,1
3771,1
3772,1
3773,2
3774,1
3775,2
3776,2
3777,3
3778,1
3779,1
3780,1
3781,2
3782,3
3783,1
3784,1
3785,2
3786,1
3787,1
3788,1
3789,2
3790,2
3791,2
3792,1
3793,1
3794,3
3795,1
3796,1
3797,1
3798,1
3799,1
3800,1
3801,1
3802,2
3803,2
3804,1
3805,1
3806,1
3807,1
3808,1
3809,1
3810,3
3811,1
3812,3
3813,2
3814,3
3815,1
3816,1
3817,2
3818,2
3819,2
3820,1
3821,1
3822,1
3823,1
3824,1
3825,1
3826,1
3827,2
3828,1
3829,1
3830,1
3831,1
3832,1
3833,2
3834,2
3835,1
3836,1
3837,1
3838,1
3839,1
3840,2
3841,2
3842,1
3843,1
3844,3
3845,1
3846,1
3847,3
3848,1
3849,1
3850,2
3851,2
3852,2
3853,2
3854,2
3855,2
3856,2
3857,1
3858,2
3859,1
3860,1
3861,2
3862,1
3863,3
3864,3
3865,2
3866,1
3867,2
3868,2
3869,1
3870,3
3871,2
3872,2
3873,1
3874,2
3875,1
3876,1
3877,2
3878,2
3879,1
3880,2
3881,2
3882,1
3883,1
3884,3
3885,3
3886,1
3887,3
3888,2
3889,1
3890,2
3891,3
3892,1
3893,2
3894,2
3895,2
3896,1
3897,1
3898,2
3899,1
3900,3
3901,2
3902,2
3903,1
3904,2
3905,2
3906,2
3907,2
3908,2
3909,2
3910,1
3911,2
3912,2
3913,1
3914,3
3915,1
3916,1
3917,1
3918,1
3919,1
3920,2
3921,2
3922,1
3923,2
3924,1
3925,1
3926,3
3927,1
3928,2
3929,2
3930,2
3931,2
3932,1
3933,1
3934,1
3935,1
3936,1
3937,1
3938,1
3939,1
3940,1
3941,3
3942,2
3943,1
3944,1
3945,2
3946,2
3947,2
3948,3
3949,1
3950,3
3951,1
3952,2
3953,1
3954,1
3955,2
3956,1
3957,1
3958,2
3959,2
3960,1
3961,1
3962,1
3963,2
3964,1
3965,1
3966,1
3967,2
3968,1
3969,1
3970,2
3971,1
3972,1
3973,2
3974,2
3975,2
3976,1
3977,2
3978,2
3979,1
3980,2
3981,1
3982,1
3983,2
3984,1
3985,1
3986,2
3987,2
3988,2
3989,2
3990,1
3991,1
3992,1
3993,2
3994,1
3995,2
3996,1
3997,2
3998,1
3999,3
4000,1
4001,1
4002,1
4003,1
4004,2
4005,1
4006,3
4007,2
4008,2
4009,2
4010,1
4011,3
4012,2
4013,2
4014,2
4015,2
4016,1
4017,1
4018,2
4019,1
4020,1
4021,3
4022,1
4023,1
4024,2
4025,1
4026,2
4027,1
4028,1
4029,2
4030,1
4031,1
4032,1
4033,1
4034,1
4035,2
4036,2
4037,2
4038,2
4039,2
4040,1
4041,1
4042,3
4043,1
4044,1
4045,1
4046,2
4047,1
4048,1
4049,1
4050,2
4051,1
4052,2
4053,1
4054,2
4055,2
4056,2
4057,1
4058,3
4059,1
4060,1
4061,1
4062,1
4063,2
4064,2
4065,2
4066,2
4067,1
4068,2
4069,2
4070,2
4071,3
4072,2
4073,1
4074,1
4075,2
4076,1
4077,1
4078,2
4079,2
4080,2
4081,2
4082,1
4083,1
4084,1
4085,2
4086,2
4087,1
4088,2
4089,3
4090,1
4091,1
4092,1
4093,1
4094,2
4095,2
4096,2
4097,1
4098,3
4099,2
4100,1
4101,1
4102,2
4103,1
4104,1
4105,1
4106,2
4107,2
4108,1
4109,1
4110,3
4111,1
4112,1
4113,2
4114,2
4115,2
4116,1
4117,2
4118,2
4119,1
4120,2
4121,2
4122,2
4123,1
4124,1
4125,1
4126,1
4127,2
4128,1
4129,1
4130,1
4131,1
4132,1
4133,3
4134,2
4135,2
4136,1
4137,1
4138,1
4139,2
4140,2
4141,2
4142,3
4143,2
4144,2
4145,1
4146,1
4147,1
4148,2
4149,1
4150,2
4151,2
4152,2
4153,2
4154,1
4155,2
4156,1
4157,2
4158,1
4159,1
4160,2
4161,1
4162,3
4163,1
4164,1
4165,2
4166,1
4167,2
4168,1
4169,2
4170,1
4171,2
4172,1
4173,2
4174,1
4175,2
4176,2
4177,1
4178,1
4179,1
4180,2
4181,1
4182,1
4183,1
4184,2
4185,2
4186,1
4187,2
4188,1
4189,2
4190,2
4191,2
4192,2
4193,1
4194,1
4195,2
4196,1
4197,2
4198,1
4199,1
4200,1
4201,1
4202,1
4203,1
4204,1
4205,2
4206,3
4207,1
4208,2
4209,2
4210,2
4211,1
4212,2
4213,1
4214,2
4215,2
4216,2
4217,1
4218,1
4219,2
4220,1
4221,1
4222,2
4223,3
4224,1
4225,1
4226,1
4227,1
4228,1
4229,2
4230,1
4231,1
4232,2
4233,1
4234,2
4235,2
4236,1
4237,2
4238,1
4239,2
4240,1
4241,2
4242,2
4243,1
4244,2
4245,2
4246,2
4247,1
4248,1
4249,3
4250,2
4251,2
4252,2
4253,1
4254,1
4255,1
4256,1
4257,1
4258,2
4259,2
4260,2
4261,1
4262,2
4263,2
4264,1
4265,1
4266,1
4267,2
4268,2
4269,1
4270,1
4271,2
4272,2
4273,1
4274,1
4275,2
4276,2
4277,1
4278,1
4279,1
4280,2
4281,1
4282,1
4283,2
4284,2
4285,1
4286,1
4287,1
4288,2
4289,1
4290,1
4291,1
4292,1
4293,3
4294,1
4295,2
4296,1
4297,1
4298,1
4299,1
4300,2
4301,2
4302,1
4303,1
4304,1
4305,1
4306,2
4307,2
4308,1
4309,4
4310,1
4311,1
4312,2
4313,1
4314,2
4315,1
4316,1
4317,1
4318,1
4319,1
4320,3
4321,1
4322,1
4323,1
4324,1
4325,2
4326,2
4327,1
4328,1
4329,3
4330,1
4331,3
4332,1
4333,2
4334,2
4335,2
4336,1
4337,2
4338,2
4339,2
4340,2
4341,2
4342,2
4343,2
4344,2
4345,2
4346,1
4347,1
4348,2
4349,1
4350,2
4351,2
4352,1
4353,1
4354,2
4355,1
4356,1
4357,1
4358,2
4359,1
4360,1
4361,1
4362,2
4363,1
4364,1
4365,1
4366,3
4367,2
4368,3
4369,2
4370,2
4371,2
4372,2
4373,2
4374,3
4375,2
4376,1
4377,2
4378,2
4379,1
4380,3
4381,1
4382,1
4383,2
4384,1
4385,1
4386,2
4387,1
4388,1
4389,2
4390,2
4391,2
4392,1
4393,1
4394,3
4395,1
4396,2
4397,2
4398,2
4399,2
4400,1
4401,1
4402,1
4403,2
4404,1
4405,1
4406,2
4407,1
4408,1
4409,1
4410,1
4411,1
4412,1
4413,1
4414,1
4415,1
4416,1
4417,1
4418,1
4419,1
4420,1
4421,1
4422,2
4423,2
4424,2
4425,2
4426,2
4427,2
4428,1
4429,1
4430,2
4431,1
4432,2
4433,2
4434,2
4435,2
4436,1
4437,2
4438,2
4439,1
4440,1
4441,1
4442,1
4443,2
4444,1
4445,1
4446,1
4447,1
4448,2
4449,1
4450,1
4451,1
4452,1
4453,1
4454,2
4455,2
4456,1
4457,2
4458,2
4459,2
4460,1
4461,1
4462,3
4463,2
4464,1
4465,2
4466,1
4467,1
4468,1
4469,3
4470,2
4471,2
4472,2
4473,2
4474,1
4475,1
4476,2
4477,1
4478,3
4479,1
4480,1
4481,2
4482,2
4483,2
4484,2
4485,2
4486,1
4487,2
4488,1
4489,1
4490,1
4491,2
4492,2
4493,1
4494,1
4495,1
4496,2
4497,2
4498,1
4499,1
4500,1
4501,2
4502,2
4503,1
4504,1
4505,1
4506,2
4507,1
4508,1
4509,2
4510,2
4511,1
4512,2
4513,1
4514,1
4515,1
4516,1
4517,1
4518,2
4519,2
4520,2
4521,1
4522,3
4523,1
4524,2
4525,3
4526,3
4527,3
4528,1
4529,1
4530,2
4531,1
4532,1
4533,2
4534,2
4535,1
4536,1
4537,2
4538,2
4539,1
4540,1
4541,2
4542,1
4543,1
4544,1
4545,2
4546,1
4547,1
4548,1
4549,1
4550,2
4551,1
4552,1
4553,1
4554,2
4555,1
4556,1
4557,1
4558,3
4559,2
4560,1
4561,1
4562,4
4563,1
4564,1
4565,3
4566,1
4567,1
4568,2
4569,2
4570,1
4571,2
4572,1
4573,2
4574,2
4575,1
4576,2
4577,2
4578,1
4579,2
4580,2
4581,1
4582,3
4583,2
4584,1
4585,2
4586,1
4587,2
4588,2
4589,2
4590,2
4591,1
4592,1
4593,1
4594,1
4595,3
4596,1
4597,3
4598,2
4599,2
4600,1
4601,2
4602,2
4603,1
4604,2
4605,1
4606,2
4607,2
4608,2
4609,2
4610,1
4611,1
4612,1
4613,2
4614,2
4615,2
4616,1
4617,2
4618,1
4619,2
4620,2
4621,1
4622,1
4623,1
4624,2
4625,1
4626,2
4627,1
4628,1
4629,1
4630,2
4631,2
4632,1
4633,1
4634,2
4635,1
4636,1
4637,2
4638,2
4639,1
4640,2
4641,3
4642,1
4643,1
4644,1
4645,2
4646,2
4647,1
4648,2
4649,2
4650,2
4651,3
4652,1
4653,2
4654,2
4655,2
4656,1
4657,1
4658,2
4659,1
4660,2
4661,1
4662,1
4663,1
4664,3
4665,1
4666,2
4667,1
4668,1
4669,2
4670,1
4671,2
4672,1
4673,1
4674,2
4675,1
4676,1
4677,2
4678,1
4679,2
4680,1
4681,2
4682,3
4683,2
4684,1
4685,2
4686,1
4687,2
4688,1
4689,3
4690,2
4691,1
4692,1
4693,2
4694,3
4695,2
4696,3
4697,1
4698,1
4699,1
4700,2
4701,2
4702,1
4703,1
4704,1
4705,1
4706,1
4707,2
4708,1
4709,1
4710,2
4711,1
4712,2
4713,2
4714,2
4715,1
4716,1
4717,1
4718,2
4719,1
4720,1
4721,3
4722,2
4723,3
4724,2
4725,1
4726,2
4727,2
4728,1
4729,1
4730,1
4731,2
4732,3
4733,2
4734,1
4735,3
4736,1
4737,2
4738,2
4739,1
4740,1
4741,1
4742,2
4743,1
4744,2
4745,2
4746,2
4747,1
4748,1
4749,2
4750,3
4751,1
4752,1
4753,1
4754,2
4755,1
4756,1
4757,1
4758,1
4759,1
4760,1
4761,3
4762,3
4763,1
4764,1
4765,2
4766,2
4767,2
4768,2
4769,2
4770,1
4771,1
4772,1
4773,1
4774,1
4775,2
4776,1
4777,2
4778,2
4779,2
4780,1
4781,3
4782,2
4783,2
4784,2
4785,2
4786,1
4787,1
4788,1
4789,1
4790,2
4791,2
4792,1
4793,2
4794,2
4795,1
4796,1
4797,2
4798,3
4799,1
4800,2
4801,1
4802,2
4803,2
4804,2
4805,1
4806,2
4807,1
4808,2
4809,1
4810,1
4811,2
4812,1
4813,2
4814,1
4815,1
4816,2
4817,1
4818,2
4819,1
4820,1
4821,1
4822,1
4823,2
4824,3
4825,1
4826,1
4827,2
4828,1
4829,1
4830,3
4831,2
4832,1
4833,2
4834,2
4835,1
4836,2
4837,3
4838,1
4839,3
4840,2
4841,3
4842,2
4843,2
4844,1
4845,2
4846,3
4847,2
4848,2
4849,2
4850,3
4851,2
4852,1
4853,2
4854,2
4855,1
4856,1
4857,3
4858,1
4859,2
4860,1
4861,2
4862,1
4863,1
4864,2
4865,2
4866,1
4867,3
4868,1
4869,2
4870,1
4871,2
4872,1
4873,2
4874,1
4875,1
4876,2
4877,2
4878,1
4879,2
4880,2
4881,1
4882,1
4883,2
4884,1
4885,1
4886,1
4887,1
4888,1
4889,1
4890,2
4891,2
4892,2
4893,2
4894,3
4895,2
4896,2
4897,1
4898,2
4899,1
4900,2
4901,1
4902,1
4903,2
4904,1
4905,2
4906,2
4907,1
4908,1
4909,1
4910,1
4911,2
4912,1
4913,2
4914,2
4915,1
4916,3
4917,2
4918,2
4919,1
4920,2
4921,1
4922,2
4923,1
4924,1
4925,2
4926,1
4927,1
4928,1
4929,1
4930,1
4931,1
4932,1
4933,3
4934,2
4935,1
4936,1
4937,2
4938,2
4939,1
4940,1
4941,1
4942,1
4943,1
4944,3
4945,2
4946,1
4947,2
4948,2
4949,1
4950,1
4951,1
4952,1
4953,2
4954,2
4955,3
4956,2
4957,1
4958,1
4959,1
4960,2
4961,1
4962,1
4963,1
4964,2
4965,2
4966,1
4967,1
4968,1
4969,2
4970,1
4971,2
4972,1
4973,2
4974,3
4975,1
4976,2
4977,1
4978,2
4979,1
4980,2
4981,2
4982,2
4983,2
4984,1
4985,2
4986,1
4987,2
4988,1
4989,1
4990,1
4991,1
4992,2
4993,2
4994,3
4995,1
4996,2
4997,1
4998,3
4999,2
